date,title,full_title,url,relative_url
2026-09-11,Kongtuke rebuke!,Traffic analysis exercise: Kongtuke rebuke!,https://www.malware-traffic-analysis.net/2026/09/11/index.html,2026/09/11/index.html
2026-08-09,First to Last,Traffic analysis exercise: First to Last,https://www.malware-traffic-analysis.net/2026/08/09/index.html,2026/08/09/index.html
2026-02-28,Easy as 123,Traffic analysis exercise: Easy as 123,https://www.malware-traffic-analysis.net/2026/02/28/index.html,2026/02/28/index.html
2026-01-31,Lumma in the Room-ah!,Traffic analysis exercise: Lumma in the Room-ah!,https://www.malware-traffic-analysis.net/2026/01/31/index.html,2026/01/31/index.html
2025-06-13,It's a trap!,Traffic analysis exercise: It's a trap!,https://www.malware-traffic-analysis.net/2025/06/13/index.html,2025/06/13/index.html
2025-01-22,Download from fake software site,Traffic analysis exercise: Download from fake software site,https://www.malware-traffic-analysis.net/2025/01/22/index.html,2025/01/22/index.html
2024-11-26,Nemotodes,Traffic analysis exercise: Nemotodes,https://www.malware-traffic-analysis.net/2024/11/26/index.html,2024/11/26/index.html
2024-09-04,Big Fish in a Little Pond,Traffic analysis exercise: Big Fish in a Little Pond,https://www.malware-traffic-analysis.net/2024/09/04/index.html,2024/09/04/index.html
2024-08-15,WarmCookie,Traffic analysis exercise: WarmCookie,https://www.malware-traffic-analysis.net/2024/08/15/index.html,2024/08/15/index.html
2024-07-30,You dirty rat!,Traffic analysis exercise: You dirty rat!,https://www.malware-traffic-analysis.net/2024/07/30/index.html,2024/07/30/index.html
2022-02-23,Traffic analysis exercise - Sunnystation,Traffic analysis exercise - Sunnystation,https://www.malware-traffic-analysis.net/2022/02/23/index.html,2022/02/23/index.html
2022-01-07,Traffic analysis exercise - Spoonwatch,Traffic analysis exercise - Spoonwatch,https://www.malware-traffic-analysis.net/2022/01/07/index.html,2022/01/07/index.html
2021-12-08,December 2021 ISC Forensic Contest,December 2021 ISC Forensic Contest,https://www.malware-traffic-analysis.net/2021/12/08/index.html,2021/12/08/index.html
2021-10-22,October 2021 ISC Forensic Contest,October 2021 ISC Forensic Contest,https://www.malware-traffic-analysis.net/2021/10/22/index.html,2021/10/22/index.html
2021-09-10,Traffic analysis exercise - Angry Poutine,Traffic analysis exercise - Angry Poutine,https://www.malware-traffic-analysis.net/2021/09/10/index.html,2021/09/10/index.html
2021-08-19,Traffic analysis exercise - Funkylizards,Traffic analysis exercise - Funkylizards,https://www.malware-traffic-analysis.net/2021/08/19/index.html,2021/08/19/index.html
2021-07-14,Traffic analysis exercise - Dualrunning,Traffic analysis exercise - Dualrunning,https://www.malware-traffic-analysis.net/2021/07/14/index.html,2021/07/14/index.html
2021-05-05,May 2021 ISC Forensic Contest,May 2021 ISC Forensic Contest,https://www.malware-traffic-analysis.net/2021/05/05/index.html,2021/05/05/index.html
2021-02-08,Traffic analysis exercise - AscoLimited,Traffic analysis exercise - AscoLimited,https://www.malware-traffic-analysis.net/2021/02/08/index.html,2021/02/08/index.html
2021-01-21,Traffic analysis exercise - WokeMountain,Traffic analysis exercise - WokeMountain,https://www.malware-traffic-analysis.net/2021/01/21/index.html,2021/01/21/index.html
2020-12-31,Traffic analysis quiz - Pcap and answers for an ISC diary,Traffic analysis quiz - Pcap and answers for an ISC diary,https://www.malware-traffic-analysis.net/2020/12/31/index.html,2020/12/31/index.html
2020-12-03,Traffic analysis quiz - Pcap and info for an ISC diary,Traffic analysis quiz - Pcap and info for an ISC diary,https://www.malware-traffic-analysis.net/2020/12/03/index.html,2020/12/03/index.html
2020-11-13,Traffic analysis exercise - Quiethub,Traffic analysis exercise - Quiethub,https://www.malware-traffic-analysis.net/2020/11/13/index.html,2020/11/13/index.html
2020-11-10,Traffic analysis quiz - Pcap and info for an ISC diary,Traffic analysis quiz - Pcap and info for an ISC diary,https://www.malware-traffic-analysis.net/2020/11/10/index.html,2020/11/10/index.html
2020-10-22,Traffic analysis exercise - Omegacast,Traffic analysis exercise - Omegacast,https://www.malware-traffic-analysis.net/2020/10/22/index.html,2020/10/22/index.html
2020-09-25,Traffic analysis exercise - Trouble Alert,Traffic analysis exercise - Trouble Alert,https://www.malware-traffic-analysis.net/2020/09/25/index.html,2020/09/25/index.html
2020-09-14,Traffic analysis quiz - Pcap and info for an ISC diary,Traffic analysis quiz - Pcap and info for an ISC diary,https://www.malware-traffic-analysis.net/2020/09/14/index.html,2020/09/14/index.html
2020-08-21,Traffic analysis exercise - Pizza-Bender,Traffic analysis exercise - Pizza-Bender,https://www.malware-traffic-analysis.net/2020/08/21/index.html,2020/08/21/index.html
2020-08-04,Traffic analysis quiz - Pcap and info for an ISC diary,Traffic analysis quiz - Pcap and info for an ISC diary,https://www.malware-traffic-analysis.net/2020/08/04/index.html,2020/08/04/index.html
2020-07-31,Traffic analysis exercise - Tecsolutions,Traffic analysis exercise - Tecsolutions,https://www.malware-traffic-analysis.net/2020/07/31/index.html,2020/07/31/index.html
2020-06-12,Traffic analysis exercise - Frank-N-Ted (What's Going On?),Traffic analysis exercise - Frank-N-Ted (What's Going On?),https://www.malware-traffic-analysis.net/2020/06/12/index.html,2020/06/12/index.html
2020-05-28,Traffic analysis exercise - Catbomber,Traffic analysis exercise - Catbomber,https://www.malware-traffic-analysis.net/2020/05/28/index.html,2020/05/28/index.html
2020-04-24,Traffic analysis exercise - Steelcoffee,Traffic analysis exercise - Steelcoffee,https://www.malware-traffic-analysis.net/2020/04/24/index.html,2020/04/24/index.html
2020-03-14,Traffic analysis exercise - Mondogreek,Traffic analysis exercise - Mondogreek,https://www.malware-traffic-analysis.net/2020/03/14/index.html,2020/03/14/index.html
2020-02-21,Traffic analysis exercise - One-Hot-Mess,Traffic analysis exercise - One-Hot-Mess,https://www.malware-traffic-analysis.net/2020/02/21/index.html,2020/02/21/index.html
2020-01-30,Traffic analysis exercise - Sol-Lightnet,Traffic analysis exercise - Sol-Lightnet,https://www.malware-traffic-analysis.net/2020/01/30/index.html,2020/01/30/index.html
2019-12-25,Traffic analysis exercise - It happened on Christmas day,Traffic analysis exercise - It happened on Christmas day,https://www.malware-traffic-analysis.net/2019/12/25/index.html,2019/12/25/index.html
2019-12-03,Traffic analysis exercise - Icemaiden,Traffic analysis exercise - Icemaiden,https://www.malware-traffic-analysis.net/2019/12/03/index.html,2019/12/03/index.html
2019-11-12,Traffic analysis exercise - Okay-Boomer,Traffic analysis exercise - Okay-Boomer,https://www.malware-traffic-analysis.net/2019/11/12/index.html,2019/11/12/index.html
2019-10-05,Traffic analysis exercise - Tinsolutions,Traffic analysis exercise - Tinsolutions,https://www.malware-traffic-analysis.net/2019/10/05/index.html,2019/10/05/index.html
2019-08-20,Traffic analysis exercise - Badbundt,Traffic analysis exercise - Badbundt,https://www.malware-traffic-analysis.net/2019/08/20/index.html,2019/08/20/index.html
2019-07-19,Traffic analysis exercise - So hot right now,Traffic analysis exercise - So hot right now,https://www.malware-traffic-analysis.net/2019/07/19/index.html,2019/07/19/index.html
2019-06-22,Traffic analysis exercise - Phenomenoc,Traffic analysis exercise - Phenomenoc,https://www.malware-traffic-analysis.net/2019/06/22/index.html,2019/06/22/index.html
2019-05-02,Traffic analysis exercise - BeguileSoft,Traffic analysis exercise - BeguileSoft,https://www.malware-traffic-analysis.net/2019/05/02/index.html,2019/05/02/index.html
2019-04-15,Traffic analysis exercise - StingrayAhoy,Traffic analysis exercise - StingrayAhoy,https://www.malware-traffic-analysis.net/2019/04/15/index.html,2019/04/15/index.html
2019-03-19,Traffic analysis exercise - LittleTigers,Traffic analysis exercise - LittleTigers,https://www.malware-traffic-analysis.net/2019/03/19/index.html,2019/03/19/index.html
2019-02-23,Traffic analysis exercise - StormTheory,Traffic analysis exercise - StormTheory,https://www.malware-traffic-analysis.net/2019/02/23/index.html,2019/02/23/index.html
2019-01-28,Traffic analysis exercise - TimberShade,Traffic analysis exercise - TimberShade,https://www.malware-traffic-analysis.net/2019/01/28/index.html,2019/01/28/index.html
2018-12-18,Traffic analysis exercise - Eggnog Soup,Traffic analysis exercise - Eggnog Soup,https://www.malware-traffic-analysis.net/2018/12/18/index.html,2018/12/18/index.html
2018-11-13,Two pcaps I provided for UA-CTF,Two pcaps I provided for UA-CTF,https://www.malware-traffic-analysis.net/2018/11/13/index.html,2018/11/13/index.html
2018-11-07,Traffic analysis exercise - Turkey and Defence,Traffic analysis exercise - Turkey and Defence,https://www.malware-traffic-analysis.net/2018/11/07/index.html,2018/11/07/index.html
2018-10-31,Traffic analysis exercise - Happy Halloween!,Traffic analysis exercise - Happy Halloween!,https://www.malware-traffic-analysis.net/2018/10/31/index.html,2018/10/31/index.html
2018-10-01,Two pcaps I provided for UISGCON CTF,Two pcaps I provided for UISGCON CTF,https://www.malware-traffic-analysis.net/2018/10/01/index.html,2018/10/01/index.html
2018-09-27,Traffic analysis exercise - Blank Clipboard,Traffic analysis exercise - Blank Clipboard,https://www.malware-traffic-analysis.net/2018/09/27/index.html,2018/09/27/index.html
2018-08-12,Traffic analysis exercise - Sputnik House,Traffic analysis exercise - Sputnik House,https://www.malware-traffic-analysis.net/2018/08/12/index.html,2018/08/12/index.html
2018-07-15,Traffic analysis exercise - Oh noes! Torrentz on our network!,Traffic analysis exercise - Oh noes! Torrentz on our network!,https://www.malware-traffic-analysis.net/2018/07/15/index.html,2018/07/15/index.html
